,stock_status,wc_average_rating,wc_review_count,product_version,price,product_title
0,instock,5.00,1,7.2.2,89,Zakka Extendable Dish Drying Rack Large
1,instock,0,0,7.2.2,145,Metalware MW-110 Bluetooth Smart Digital Lock with Lever Handle
2,instock,0,0,7.2.2,345,Metalware MW-160 Bluetooth Smart Digital Lock with Lever Handle
3,instock,0,0,7.2.2,245,Metalware MW-DB03 Bluetooth Smart Deadbolt
4,instock,0,0,7.2.2,145,Metalware MW-VB01 Wireless Video Doorbell
5,instock,0,0,7.2.2,30,Metalware MW-PIR01 Zigbee PIR Motion Sensor
6,instock,0,0,7.2.2,85,Metalware MW-DW01 Zigbee Door and Window Magnetic Sensor
7,instock,0,0,7.2.2,95,Metalware MW-VS01 Zigbee Vibration Sensor
8,instock,0,0,7.2.2,40,Metalware MW-WS01 Zigbee Water Leak Sensor
9,instock,0,0,7.2.2,35,Metalware MW-TH01 Zigbee Temperature and Humidity Sensor
10,instock,0,0,7.2.2,35,Metalware MW-HZ01 Wireless Zigbee Gateway
11,instock,0,0,7.2.2,35,Metalware MW-PIR02 Human Presence Detection Sensor
12,instock,0,0,7.2.2,80,Metalware MW-SW01 Zigbee 1-Gang Smart Light Switch
13,instock,0,0,7.2.2,150,Metalware MW-SR01 Zigbee Alarm Siren with Strobe Light
14,instock,0,0,7.2.2,150,Metalware MW-SW02 Zigbee 2-Gang Smart Light Switch
15,instock,0,0,7.2.2,175,Metalware MW-SW03 Zigbee 3-Gang Smart Light Switch
16,instock,0,0,7.2.2,125,Metalware MW-LD01 Bluetooth 9W Down Light
17,instock,0,0,7.2.2,165,Metalware MW-LB02 Wifi Filament E27 Dimmable Retro Light Bulb
18,instock,0,0,7.2.2,245,Metalware MW-LS01 Wifi RGB Light Strip 5m
19,instock,0,0,7.2.2,175,Metalware MW-LB01 Wifi RGB E27 Dimmable Light Bulb
20,instock,0,0,7.2.2,175,Metalware MW-IR01 Smart Infrared and RF Controller
21,instock,0,0,7.2.2,175,Metalware MW-PW01 Smart Power Strip 3 Outlets + 3 USB
22,instock,0,0,7.2.2,175,Metalware MW-PW02 Smart Power Plug with Power Monitoring
23,instock,0,0,7.2.2,175,Home Barista ST-518K-SG Multi Capsule Coffee Machine Silver/Grey
24,instock,0,0,7.2.2,175,Cera+ PM-03 Portable Capsule Espresso Maker
25,instock,0,0,7.2.2,125,Zakka Stainless Steel Touchless Smart Sensor Bin 20 Litres
26,instock,0,0,7.2.2,125,Zakka Stainless Steel Touchless Smart Sensor Bin Extra Large Capacity 50 Litres
27,instock,0,0,7.2.2,125,Home Barista ST-518K-SB Multi Capsule Coffee Machine Silver/Black
28,instock,0,0,7.2.2,125,Home Barista ST-518K-BS Multi Capsule Coffee Machine Beige/Silver
29,instock,0,0,7.2.2,125,Home Barista ST-518K-SR Multi Capsule Coffee Machine Silver/Red
30,instock,0,0,7.2.2,125,Home Barista ST-516K-R Multi Capsule Coffee Machine Red
31,instock,0,0,7.2.2,245,Home Barista ST-516K-W Multi Capsule Coffee Machine White
32,instock,0,0,7.2.2,50,Home Barista ST-516K-B Multi Capsule Coffee Machine Black
